program_label,program,geoid,category,stusab,state,state_name,county,county_name,tract,pct_occupied,pct_minority,total_units,number_reported,pct_reported,pct_2adults,pct_1adult,pct_disabled_all,pct_age62plus,pct_white,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,pct_bed1,pct_bed2,pct_bed3,pct_hhwch,name,states
Summary,1,17043846510,census tract,IL,17,Illinois,043,DuPage County,846510,76.0,98.0,51.0,42,100.0,,52.0,20.0,17.0,2.0,95.0,,,2.0,33.0,52.0,14.0,52.0,IL Illinois Dupage County 846510,IL Illinois
Housing Choice Vouchers,3,17043846510,census tract,IL,17,Illinois,043,DuPage County,846510,76.0,98.0,51.0,42,100.0,,52.0,20.0,17.0,2.0,95.0,,,2.0,33.0,52.0,14.0,52.0,IL Illinois Dupage County 846510,IL Illinois
Summary,1,17043846511,census tract,IL,17,Illinois,043,DuPage County,846511,78.0,86.0,44.0,37,100.0,8.0,54.0,18.0,24.0,14.0,78.0,,,8.0,11.0,30.0,59.0,62.0,IL Illinois Dupage County 846511,IL Illinois
Public Housing,2,17043846511,census tract,IL,17,Illinois,043,DuPage County,846511,,,2.0,2,,,,,,,,,,,,,,,IL Illinois Dupage County 846511,IL Illinois
Housing Choice Vouchers,3,17043846511,census tract,IL,17,Illinois,043,DuPage County,846511,76.0,86.0,42.0,35,100.0,9.0,57.0,17.0,20.0,14.0,77.0,,,9.0,11.0,31.0,57.0,66.0,IL Illinois Dupage County 846511,IL Illinois
Summary,1,17043846513,census tract,IL,17,Illinois,043,DuPage County,846513,91.0,81.0,15.0,16,100.0,,63.0,9.0,19.0,19.0,75.0,,,6.0,,94.0,6.0,63.0,IL Illinois Dupage County 846513,IL Illinois
Housing Choice Vouchers,3,17043846513,census tract,IL,17,Illinois,043,DuPage County,846513,91.0,81.0,15.0,16,100.0,,63.0,9.0,19.0,19.0,75.0,,,6.0,,94.0,6.0,63.0,IL Illinois Dupage County 846513,IL Illinois
Summary,1,17043846514,census tract,IL,17,Illinois,043,DuPage County,846514,,,8.0,7,,,,,,,,,,,,,,,IL Illinois Dupage County 846514,IL Illinois
Housing Choice Vouchers,3,17043846514,census tract,IL,17,Illinois,043,DuPage County,846514,,,8.0,7,,,,,,,,,,,,,,,IL Illinois Dupage County 846514,IL Illinois
Summary,1,17043846515,census tract,IL,17,Illinois,043,DuPage County,846515,81.0,93.0,32.0,28,100.0,4.0,68.0,15.0,21.0,7.0,71.0,,4.0,18.0,7.0,11.0,82.0,72.0,IL Illinois Dupage County 846515,IL Illinois
Public Housing,2,17043846515,census tract,IL,17,Illinois,043,DuPage County,846515,,,6.0,6,,,,,,,,,,,,,,,IL Illinois Dupage County 846515,IL Illinois
Housing Choice Vouchers,3,17043846515,census tract,IL,17,Illinois,043,DuPage County,846515,77.0,91.0,26.0,22,100.0,5.0,68.0,13.0,14.0,9.0,68.0,,5.0,18.0,9.0,14.0,77.0,73.0,IL Illinois Dupage County 846515,IL Illinois
Summary,1,17043846517,census tract,IL,17,Illinois,043,DuPage County,846517,76.0,95.0,24.0,20,100.0,,75.0,11.0,,5.0,85.0,,,10.0,10.0,70.0,20.0,75.0,IL Illinois Dupage County 846517,IL Illinois
Housing Choice Vouchers,3,17043846517,census tract,IL,17,Illinois,043,DuPage County,846517,76.0,95.0,24.0,20,100.0,,75.0,11.0,,5.0,85.0,,,10.0,10.0,70.0,20.0,75.0,IL Illinois Dupage County 846517,IL Illinois
Summary,1,17043846519,census tract,IL,17,Illinois,043,DuPage County,846519,92.0,91.0,21.0,22,100.0,,45.0,25.0,18.0,9.0,86.0,,,5.0,32.0,59.0,9.0,45.0,IL Illinois Dupage County 846519,IL Illinois
Housing Choice Vouchers,3,17043846519,census tract,IL,17,Illinois,043,DuPage County,846519,92.0,91.0,21.0,22,100.0,,45.0,25.0,18.0,9.0,86.0,,,5.0,32.0,59.0,9.0,45.0,IL Illinois Dupage County 846519,IL Illinois
Summary,1,17043846521,census tract,IL,17,Illinois,043,DuPage County,846521,,,4.0,4,,,,,,,,,,,,,,,IL Illinois Dupage County 846521,IL Illinois
Housing Choice Vouchers,3,17043846521,census tract,IL,17,Illinois,043,DuPage County,846521,,,4.0,4,,,,,,,,,,,,,,,IL Illinois Dupage County 846521,IL Illinois
Summary,1,17043846522,census tract,IL,17,Illinois,043,DuPage County,846522,,,8.0,8,,,,,,,,,,,,,,,IL Illinois Dupage County 846522,IL Illinois
Housing Choice Vouchers,3,17043846522,census tract,IL,17,Illinois,043,DuPage County,846522,,,8.0,8,,,,,,,,,,,,,,,IL Illinois Dupage County 846522,IL Illinois
Summary,1,17043846523,census tract,IL,17,Illinois,043,DuPage County,846523,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Dupage County 846523,IL Illinois
Housing Choice Vouchers,3,17043846523,census tract,IL,17,Illinois,043,DuPage County,846523,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Dupage County 846523,IL Illinois
Summary,1,17043846524,census tract,IL,17,Illinois,043,DuPage County,846524,92.0,94.0,16.0,17,100.0,6.0,71.0,4.0,6.0,6.0,94.0,,,0.0,18.0,59.0,24.0,77.0,IL Illinois Dupage County 846524,IL Illinois
Housing Choice Vouchers,3,17043846524,census tract,IL,17,Illinois,043,DuPage County,846524,92.0,94.0,16.0,17,100.0,6.0,71.0,4.0,6.0,6.0,94.0,,,0.0,18.0,59.0,24.0,77.0,IL Illinois Dupage County 846524,IL Illinois
Summary,1,17043846603,census tract,IL,17,Illinois,043,DuPage County,846603,92.0,83.0,11.0,12,100.0,,17.0,44.0,17.0,17.0,75.0,,,8.0,67.0,25.0,8.0,17.0,IL Illinois Dupage County 846603,IL Illinois
Housing Choice Vouchers,3,17043846603,census tract,IL,17,Illinois,043,DuPage County,846603,92.0,83.0,11.0,12,100.0,,17.0,44.0,17.0,17.0,75.0,,,8.0,67.0,25.0,8.0,17.0,IL Illinois Dupage County 846603,IL Illinois
Summary,1,17043846604,census tract,IL,17,Illinois,043,DuPage County,846604,,,2.0,2,,,,,,,,,,,,,,,IL Illinois Dupage County 846604,IL Illinois
Housing Choice Vouchers,3,17043846604,census tract,IL,17,Illinois,043,DuPage County,846604,,,2.0,2,,,,,,,,,,,,,,,IL Illinois Dupage County 846604,IL Illinois
Summary,1,17043846701,census tract,IL,17,Illinois,043,DuPage County,846701,,,10.0,10,,,,,,,,,,,,,,,IL Illinois Dupage County 846701,IL Illinois
Housing Choice Vouchers,3,17043846701,census tract,IL,17,Illinois,043,DuPage County,846701,,,9.0,9,,,,,,,,,,,,,,,IL Illinois Dupage County 846701,IL Illinois
Project Based Section 8,4,17043846701,census tract,IL,17,Illinois,043,DuPage County,846701,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Dupage County 846701,IL Illinois
Summary,1,17043846702,census tract,IL,17,Illinois,043,DuPage County,846702,,,5.0,5,,,,,,,,,,,,,,,IL Illinois Dupage County 846702,IL Illinois
Housing Choice Vouchers,3,17043846702,census tract,IL,17,Illinois,043,DuPage County,846702,,,5.0,5,,,,,,,,,,,,,,,IL Illinois Dupage County 846702,IL Illinois
Summary,1,17045070200,census tract,IL,17,Illinois,045,Edgar County,070200,,,3.0,3,,,,,,,,,,,,,,,IL Illinois Edgar County 070200,IL Illinois
Project Based Section 8,4,17045070200,census tract,IL,17,Illinois,045,Edgar County,070200,,,3.0,3,,,,,,,,,,,,,,,IL Illinois Edgar County 070200,IL Illinois
Summary,1,17045070300,census tract,IL,17,Illinois,045,Edgar County,070300,83.0,0.0,27.0,24,100.0,,21.0,30.0,50.0,100.0,,,,0.0,46.0,50.0,4.0,21.0,IL Illinois Edgar County 070300,IL Illinois
Housing Choice Vouchers,3,17045070300,census tract,IL,17,Illinois,045,Edgar County,070300,80.0,0.0,17.0,13,97.0,,38.0,24.0,38.0,100.0,,,,0.0,15.0,77.0,8.0,38.0,IL Illinois Edgar County 070300,IL Illinois
Project Based Section 8,4,17045070300,census tract,IL,17,Illinois,045,Edgar County,070300,89.0,0.0,10.0,11,100.0,,,42.0,64.0,100.0,,,,0.0,82.0,18.0,,,IL Illinois Edgar County 070300,IL Illinois
Summary,1,17045070400,census tract,IL,17,Illinois,045,Edgar County,070400,91.0,1.0,160.0,144,99.0,,8.0,30.0,70.0,99.0,1.0,,,0.0,74.0,22.0,5.0,8.0,IL Illinois Edgar County 070400,IL Illinois
Public Housing,2,17045070400,census tract,IL,17,Illinois,045,Edgar County,070400,98.0,1.0,100.0,98,100.0,,,34.0,79.0,99.0,1.0,,,0.0,98.0,2.0,,,IL Illinois Edgar County 070400,IL Illinois
Housing Choice Vouchers,3,17045070400,census tract,IL,17,Illinois,045,Edgar County,070400,80.0,2.0,60.0,46,97.0,,26.0,25.0,52.0,98.0,2.0,,,0.0,22.0,63.0,15.0,26.0,IL Illinois Edgar County 070400,IL Illinois
Summary,1,17045070500,census tract,IL,17,Illinois,045,Edgar County,070500,97.0,8.0,52.0,50,100.0,,28.0,14.0,24.0,92.0,8.0,,,0.0,58.0,24.0,18.0,28.0,IL Illinois Edgar County 070500,IL Illinois
Public Housing,2,17045070500,census tract,IL,17,Illinois,045,Edgar County,070500,98.0,6.0,49.0,48,100.0,,27.0,14.0,23.0,94.0,6.0,,,0.0,60.0,21.0,19.0,27.0,IL Illinois Edgar County 070500,IL Illinois
Housing Choice Vouchers,3,17045070500,census tract,IL,17,Illinois,045,Edgar County,070500,,,3.0,2,,,,,,,,,,,,,,,IL Illinois Edgar County 070500,IL Illinois
Summary,1,17047956900,census tract,IL,17,Illinois,047,Edwards County,956900,96.0,0.0,17.0,16,100.0,,13.0,24.0,25.0,100.0,,,,0.0,69.0,31.0,,13.0,IL Illinois Edwards County 956900,IL Illinois
Public Housing,2,17047956900,census tract,IL,17,Illinois,047,Edwards County,956900,96.0,0.0,17.0,16,100.0,,13.0,24.0,25.0,100.0,,,,0.0,69.0,31.0,,13.0,IL Illinois Edwards County 956900,IL Illinois
Summary,1,17047957000,census tract,IL,17,Illinois,047,Edwards County,957000,91.0,0.0,15.0,14,100.0,7.0,43.0,19.0,36.0,100.0,,,,0.0,29.0,29.0,43.0,50.0,IL Illinois Edwards County 957000,IL Illinois
Public Housing,2,17047957000,census tract,IL,17,Illinois,047,Edwards County,957000,91.0,0.0,15.0,14,100.0,7.0,43.0,19.0,36.0,100.0,,,,0.0,29.0,29.0,43.0,50.0,IL Illinois Edwards County 957000,IL Illinois
Summary,1,17047957100,census tract,IL,17,Illinois,047,Edwards County,957100,90.0,5.0,44.0,40,100.0,5.0,28.0,19.0,28.0,95.0,,,3.0,3.0,48.0,35.0,18.0,33.0,IL Illinois Edwards County 957100,IL Illinois
Public Housing,2,17047957100,census tract,IL,17,Illinois,047,Edwards County,957100,96.0,0.0,34.0,33,100.0,6.0,30.0,20.0,21.0,100.0,,,,0.0,58.0,24.0,18.0,36.0,IL Illinois Edwards County 957100,IL Illinois
Project Based Section 8,4,17047957100,census tract,IL,17,Illinois,047,Edwards County,957100,,,10.0,7,,,,,,,,,,,,,,,IL Illinois Edwards County 957100,IL Illinois
Summary,1,17049950100,census tract,IL,17,Illinois,049,Effingham County,950100,,,4.0,4,,,,,,,,,,,,,,,IL Illinois Effingham County 950100,IL Illinois
Public Housing,2,17049950100,census tract,IL,17,Illinois,049,Effingham County,950100,,,4.0,4,,,,,,,,,,,,,,,IL Illinois Effingham County 950100,IL Illinois
Summary,1,17049950300,census tract,IL,17,Illinois,049,Effingham County,950300,99.0,7.0,15.0,15,100.0,,40.0,21.0,33.0,93.0,,,,7.0,33.0,27.0,40.0,40.0,IL Illinois Effingham County 950300,IL Illinois
Public Housing,2,17049950300,census tract,IL,17,Illinois,049,Effingham County,950300,100.0,0.0,14.0,14,100.0,,43.0,19.0,29.0,100.0,,,,0.0,29.0,29.0,43.0,43.0,IL Illinois Effingham County 950300,IL Illinois
Project Based Section 8,4,17049950300,census tract,IL,17,Illinois,049,Effingham County,950300,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Effingham County 950300,IL Illinois
Summary,1,17049950400,census tract,IL,17,Illinois,049,Effingham County,950400,,,8.0,8,,,,,,,,,,,,,,,IL Illinois Effingham County 950400,IL Illinois
Public Housing,2,17049950400,census tract,IL,17,Illinois,049,Effingham County,950400,,,8.0,8,,,,,,,,,,,,,,,IL Illinois Effingham County 950400,IL Illinois
Summary,1,17049950500,census tract,IL,17,Illinois,049,Effingham County,950500,,,8.0,8,,,,,,,,,,,,,,,IL Illinois Effingham County 950500,IL Illinois
Public Housing,2,17049950500,census tract,IL,17,Illinois,049,Effingham County,950500,,,8.0,8,,,,,,,,,,,,,,,IL Illinois Effingham County 950500,IL Illinois
Summary,1,17049950600,census tract,IL,17,Illinois,049,Effingham County,950600,92.0,4.0,198.0,178,98.0,5.0,17.0,17.0,46.0,96.0,3.0,,,1.0,61.0,39.0,,22.0,IL Illinois Effingham County 950600,IL Illinois
Project Based Section 8,4,17049950600,census tract,IL,17,Illinois,049,Effingham County,950600,92.0,4.0,198.0,178,98.0,5.0,17.0,17.0,46.0,96.0,3.0,,,1.0,61.0,39.0,,22.0,IL Illinois Effingham County 950600,IL Illinois
Summary,1,17049950700,census tract,IL,17,Illinois,049,Effingham County,950700,93.0,4.0,87.0,82,100.0,5.0,23.0,21.0,35.0,96.0,,,,4.0,60.0,15.0,26.0,28.0,IL Illinois Effingham County 950700,IL Illinois
Public Housing,2,17049950700,census tract,IL,17,Illinois,049,Effingham County,950700,100.0,3.0,29.0,29,100.0,14.0,66.0,2.0,10.0,97.0,,,,3.0,,31.0,69.0,80.0,IL Illinois Effingham County 950700,IL Illinois
Housing Choice Vouchers,3,17049950700,census tract,IL,17,Illinois,049,Effingham County,950700,,,2.0,1,,,,,,,,,,,,,,,IL Illinois Effingham County 950700,IL Illinois
Project Based Section 8,4,17049950700,census tract,IL,17,Illinois,049,Effingham County,950700,91.0,4.0,56.0,52,100.0,,,51.0,50.0,96.0,,,,4.0,94.0,4.0,2.0,,IL Illinois Effingham County 950700,IL Illinois
Summary,1,17049950800,census tract,IL,17,Illinois,049,Effingham County,950800,100.0,0.0,42.0,42,100.0,,,30.0,43.0,100.0,,,,0.0,93.0,7.0,,,IL Illinois Effingham County 950800,IL Illinois
Public Housing,2,17049950800,census tract,IL,17,Illinois,049,Effingham County,950800,100.0,0.0,40.0,40,100.0,,,26.0,43.0,100.0,,,,0.0,95.0,5.0,,,IL Illinois Effingham County 950800,IL Illinois
Project Based Section 8,4,17049950800,census tract,IL,17,Illinois,049,Effingham County,950800,,,2.0,2,,,,,,,,,,,,,,,IL Illinois Effingham County 950800,IL Illinois
Summary,1,17051950500,census tract,IL,17,Illinois,051,Fayette County,950500,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Fayette County 950500,IL Illinois
Project Based Section 8,4,17051950500,census tract,IL,17,Illinois,051,Fayette County,950500,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Fayette County 950500,IL Illinois
Summary,1,17051950800,census tract,IL,17,Illinois,051,Fayette County,950800,,,9.0,7,,,,,,,,,,,,,,,IL Illinois Fayette County 950800,IL Illinois
Housing Choice Vouchers,3,17051950800,census tract,IL,17,Illinois,051,Fayette County,950800,,,9.0,7,,,,,,,,,,,,,,,IL Illinois Fayette County 950800,IL Illinois
Summary,1,17051950900,census tract,IL,17,Illinois,051,Fayette County,950900,,,11.0,6,,,,,,,,,,,,,,,IL Illinois Fayette County 950900,IL Illinois
Housing Choice Vouchers,3,17051950900,census tract,IL,17,Illinois,051,Fayette County,950900,,,2.0,1,,,,,,,,,,,,,,,IL Illinois Fayette County 950900,IL Illinois
Project Based Section 8,4,17051950900,census tract,IL,17,Illinois,051,Fayette County,950900,,,9.0,5,,,,,,,,,,,,,,,IL Illinois Fayette County 950900,IL Illinois
Summary,1,17051951100,census tract,IL,17,Illinois,051,Fayette County,951100,,,5.0,2,,,,,,,,,,,,,,,IL Illinois Fayette County 951100,IL Illinois
Project Based Section 8,4,17051951100,census tract,IL,17,Illinois,051,Fayette County,951100,,,5.0,2,,,,,,,,,,,,,,,IL Illinois Fayette County 951100,IL Illinois
Summary,1,17053961800,census tract,IL,17,Illinois,053,Ford County,961800,94.0,8.0,25.0,25,100.0,,4.0,54.0,68.0,92.0,8.0,,,0.0,96.0,4.0,,4.0,IL Illinois Ford County 961800,IL Illinois
Housing Choice Vouchers,3,17053961800,census tract,IL,17,Illinois,053,Ford County,961800,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Ford County 961800,IL Illinois
Project Based Section 8,4,17053961800,census tract,IL,17,Illinois,053,Ford County,961800,94.0,4.0,24.0,24,100.0,,,58.0,71.0,96.0,4.0,,,0.0,100.0,,,,IL Illinois Ford County 961800,IL Illinois
Summary,1,17053962000,census tract,IL,17,Illinois,053,Ford County,962000,97.0,13.0,84.0,80,98.0,5.0,26.0,23.0,38.0,87.0,9.0,,,4.0,65.0,16.0,19.0,31.0,IL Illinois Ford County 962000,IL Illinois
Public Housing,2,17053962000,census tract,IL,17,Illinois,053,Ford County,962000,98.0,18.0,60.0,56,95.0,7.0,36.0,17.0,23.0,82.0,13.0,,,5.0,50.0,23.0,27.0,43.0,IL Illinois Ford County 962000,IL Illinois
Project Based Section 8,4,17053962000,census tract,IL,17,Illinois,053,Ford County,962000,94.0,0.0,24.0,24,100.0,,4.0,52.0,71.0,100.0,,,,0.0,100.0,,,4.0,IL Illinois Ford County 962000,IL Illinois
Summary,1,17055040100,census tract,IL,17,Illinois,055,Franklin County,040100,91.0,6.0,39.0,36,100.0,19.0,33.0,6.0,36.0,94.0,3.0,,,3.0,39.0,31.0,31.0,52.0,IL Illinois Franklin County 040100,IL Illinois
Public Housing,2,17055040100,census tract,IL,17,Illinois,055,Franklin County,040100,93.0,3.0,37.0,34,100.0,18.0,32.0,7.0,38.0,97.0,,,,3.0,41.0,29.0,29.0,50.0,IL Illinois Franklin County 040100,IL Illinois
Housing Choice Vouchers,3,17055040100,census tract,IL,17,Illinois,055,Franklin County,040100,,,3.0,2,,,,,,,,,,,,,,,IL Illinois Franklin County 040100,IL Illinois
Summary,1,17055040300,census tract,IL,17,Illinois,055,Franklin County,040300,97.0,0.0,106.0,102,100.0,4.0,10.0,27.0,62.0,100.0,,,,0.0,80.0,8.0,12.0,14.0,IL Illinois Franklin County 040300,IL Illinois
Public Housing,2,17055040300,census tract,IL,17,Illinois,055,Franklin County,040300,97.0,0.0,102.0,99,100.0,3.0,10.0,27.0,63.0,100.0,,,,0.0,83.0,6.0,11.0,13.0,IL Illinois Franklin County 040300,IL Illinois
Housing Choice Vouchers,3,17055040300,census tract,IL,17,Illinois,055,Franklin County,040300,,,4.0,3,,,,,,,,,,,,,,,IL Illinois Franklin County 040300,IL Illinois
Summary,1,17055040400,census tract,IL,17,Illinois,055,Franklin County,040400,88.0,1.0,77.0,68,100.0,10.0,31.0,15.0,26.0,99.0,1.0,,,0.0,49.0,19.0,32.0,41.0,IL Illinois Franklin County 040400,IL Illinois
Public Housing,2,17055040400,census tract,IL,17,Illinois,055,Franklin County,040400,89.0,2.0,73.0,65,100.0,11.0,31.0,13.0,26.0,98.0,2.0,,,0.0,51.0,17.0,32.0,42.0,IL Illinois Franklin County 040400,IL Illinois
Housing Choice Vouchers,3,17055040400,census tract,IL,17,Illinois,055,Franklin County,040400,,,4.0,3,,,,,,,,,,,,,,,IL Illinois Franklin County 040400,IL Illinois
Summary,1,17055040500,census tract,IL,17,Illinois,055,Franklin County,040500,83.0,0.0,37.0,30,98.0,3.0,20.0,8.0,67.0,100.0,,,,0.0,53.0,7.0,40.0,23.0,IL Illinois Franklin County 040500,IL Illinois
Housing Choice Vouchers,3,17055040500,census tract,IL,17,Illinois,055,Franklin County,040500,83.0,0.0,37.0,30,98.0,3.0,20.0,8.0,67.0,100.0,,,,0.0,53.0,7.0,40.0,23.0,IL Illinois Franklin County 040500,IL Illinois
Summary,1,17055040600,census tract,IL,17,Illinois,055,Franklin County,040600,93.0,2.0,67.0,62,100.0,2.0,6.0,33.0,65.0,98.0,,,,2.0,81.0,10.0,10.0,8.0,IL Illinois Franklin County 040600,IL Illinois
Public Housing,2,17055040600,census tract,IL,17,Illinois,055,Franklin County,040600,93.0,2.0,67.0,62,100.0,2.0,6.0,33.0,65.0,98.0,,,,2.0,81.0,10.0,10.0,8.0,IL Illinois Franklin County 040600,IL Illinois
Summary,1,17055040700,census tract,IL,17,Illinois,055,Franklin County,040700,92.0,8.0,77.0,71,100.0,27.0,49.0,6.0,6.0,92.0,6.0,,,3.0,1.0,35.0,63.0,76.0,IL Illinois Franklin County 040700,IL Illinois
Public Housing,2,17055040700,census tract,IL,17,Illinois,055,Franklin County,040700,93.0,9.0,71.0,66,100.0,27.0,52.0,5.0,5.0,91.0,6.0,,,3.0,2.0,38.0,61.0,79.0,IL Illinois Franklin County 040700,IL Illinois
Housing Choice Vouchers,3,17055040700,census tract,IL,17,Illinois,055,Franklin County,040700,,,7.0,5,,,,,,,,,,,,,,,IL Illinois Franklin County 040700,IL Illinois
Summary,1,17055040900,census tract,IL,17,Illinois,055,Franklin County,040900,90.0,3.0,38.0,34,100.0,21.0,47.0,20.0,6.0,97.0,,,,3.0,,44.0,56.0,68.0,IL Illinois Franklin County 040900,IL Illinois
Public Housing,2,17055040900,census tract,IL,17,Illinois,055,Franklin County,040900,91.0,3.0,32.0,29,100.0,24.0,52.0,19.0,3.0,97.0,,,,3.0,,41.0,59.0,76.0,IL Illinois Franklin County 040900,IL Illinois
Housing Choice Vouchers,3,17055040900,census tract,IL,17,Illinois,055,Franklin County,040900,,,6.0,5,,,,,,,,,,,,,,,IL Illinois Franklin County 040900,IL Illinois
Summary,1,17055041000,census tract,IL,17,Illinois,055,Franklin County,041000,90.0,5.0,261.0,236,100.0,4.0,12.0,32.0,35.0,95.0,3.0,0.0,,2.0,78.0,6.0,15.0,16.0,IL Illinois Franklin County 041000,IL Illinois
Public Housing,2,17055041000,census tract,IL,17,Illinois,055,Franklin County,041000,91.0,5.0,257.0,233,100.0,4.0,12.0,32.0,34.0,95.0,3.0,0.0,,2.0,79.0,6.0,15.0,16.0,IL Illinois Franklin County 041000,IL Illinois
Housing Choice Vouchers,3,17055041000,census tract,IL,17,Illinois,055,Franklin County,041000,,,4.0,3,,,,,,,,,,,,,,,IL Illinois Franklin County 041000,IL Illinois
Summary,1,17055041100,census tract,IL,17,Illinois,055,Franklin County,041100,84.0,5.0,75.0,61,97.0,5.0,39.0,18.0,28.0,95.0,3.0,,,2.0,28.0,41.0,31.0,44.0,IL Illinois Franklin County 041100,IL Illinois
Public Housing,2,17055041100,census tract,IL,17,Illinois,055,Franklin County,041100,91.0,0.0,42.0,38,100.0,8.0,45.0,19.0,26.0,100.0,,,,0.0,24.0,39.0,37.0,53.0,IL Illinois Franklin County 041100,IL Illinois
Housing Choice Vouchers,3,17055041100,census tract,IL,17,Illinois,055,Franklin County,041100,,,9.0,6,,,,,,,,,,,,,,,IL Illinois Franklin County 041100,IL Illinois
Project Based Section 8,4,17055041100,census tract,IL,17,Illinois,055,Franklin County,041100,78.0,6.0,24.0,17,91.0,,12.0,29.0,35.0,94.0,,,,6.0,47.0,53.0,,12.0,IL Illinois Franklin County 041100,IL Illinois
Summary,1,17055041200,census tract,IL,17,Illinois,055,Franklin County,041200,,,8.0,7,,,,,,,,,,,,,,,IL Illinois Franklin County 041200,IL Illinois
Housing Choice Vouchers,3,17055041200,census tract,IL,17,Illinois,055,Franklin County,041200,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Franklin County 041200,IL Illinois
Project Based Section 8,4,17055041200,census tract,IL,17,Illinois,055,Franklin County,041200,,,7.0,6,,,,,,,,,,,,,,,IL Illinois Franklin County 041200,IL Illinois
Summary,1,17057952800,census tract,IL,17,Illinois,057,Fulton County,952800,89.0,0.0,16.0,14,99.0,14.0,14.0,33.0,21.0,100.0,,,,0.0,36.0,57.0,7.0,28.0,IL Illinois Fulton County 952800,IL Illinois
Housing Choice Vouchers,3,17057952800,census tract,IL,17,Illinois,057,Fulton County,952800,89.0,0.0,16.0,14,99.0,14.0,14.0,33.0,21.0,100.0,,,,0.0,36.0,57.0,7.0,28.0,IL Illinois Fulton County 952800,IL Illinois
Summary,1,17057952900,census tract,IL,17,Illinois,057,Fulton County,952900,,,3.0,3,,,,,,,,,,,,,,,IL Illinois Fulton County 952900,IL Illinois
Housing Choice Vouchers,3,17057952900,census tract,IL,17,Illinois,057,Fulton County,952900,,,3.0,3,,,,,,,,,,,,,,,IL Illinois Fulton County 952900,IL Illinois
Summary,1,17057953100,census tract,IL,17,Illinois,057,Fulton County,953100,,,3.0,3,,,,,,,,,,,,,,,IL Illinois Fulton County 953100,IL Illinois
Housing Choice Vouchers,3,17057953100,census tract,IL,17,Illinois,057,Fulton County,953100,,,3.0,3,,,,,,,,,,,,,,,IL Illinois Fulton County 953100,IL Illinois
Summary,1,17057953200,census tract,IL,17,Illinois,057,Fulton County,953200,89.0,0.0,12.0,11,99.0,9.0,36.0,33.0,27.0,100.0,,,,0.0,9.0,73.0,18.0,45.0,IL Illinois Fulton County 953200,IL Illinois
Housing Choice Vouchers,3,17057953200,census tract,IL,17,Illinois,057,Fulton County,953200,89.0,0.0,12.0,11,99.0,9.0,36.0,33.0,27.0,100.0,,,,0.0,9.0,73.0,18.0,45.0,IL Illinois Fulton County 953200,IL Illinois
Summary,1,17057953300,census tract,IL,17,Illinois,057,Fulton County,953300,99.0,4.0,119.0,118,100.0,1.0,3.0,43.0,50.0,96.0,3.0,,,1.0,84.0,14.0,2.0,4.0,IL Illinois Fulton County 953300,IL Illinois
Public Housing,2,17057953300,census tract,IL,17,Illinois,057,Fulton County,953300,100.0,3.0,107.0,107,100.0,,1.0,45.0,51.0,97.0,2.0,,,1.0,89.0,11.0,,1.0,IL Illinois Fulton County 953300,IL Illinois
Housing Choice Vouchers,3,17057953300,census tract,IL,17,Illinois,057,Fulton County,953300,,,11.0,10,,,,,,,,,,,,,,,IL Illinois Fulton County 953300,IL Illinois
Project Based Section 8,4,17057953300,census tract,IL,17,Illinois,057,Fulton County,953300,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Fulton County 953300,IL Illinois
Summary,1,17057953400,census tract,IL,17,Illinois,057,Fulton County,953400,96.0,4.0,155.0,150,100.0,2.0,3.0,42.0,49.0,96.0,3.0,1.0,,0.0,88.0,11.0,1.0,5.0,IL Illinois Fulton County 953400,IL Illinois
Public Housing,2,17057953400,census tract,IL,17,Illinois,057,Fulton County,953400,100.0,3.0,97.0,97,100.0,,,47.0,67.0,97.0,1.0,2.0,,0.0,99.0,1.0,,,IL Illinois Fulton County 953400,IL Illinois
Housing Choice Vouchers,3,17057953400,census tract,IL,17,Illinois,057,Fulton County,953400,89.0,7.0,46.0,41,99.0,7.0,12.0,24.0,15.0,93.0,7.0,,,0.0,59.0,37.0,5.0,19.0,IL Illinois Fulton County 953400,IL Illinois
Project Based Section 8,4,17057953400,census tract,IL,17,Illinois,057,Fulton County,953400,92.0,0.0,12.0,12,100.0,,,92.0,17.0,100.0,,,,0.0,100.0,,,,IL Illinois Fulton County 953400,IL Illinois
Summary,1,17057953500,census tract,IL,17,Illinois,057,Fulton County,953500,98.0,8.0,101.0,99,100.0,22.0,51.0,8.0,8.0,92.0,5.0,1.0,,2.0,4.0,48.0,47.0,73.0,IL Illinois Fulton County 953500,IL Illinois
Public Housing,2,17057953500,census tract,IL,17,Illinois,057,Fulton County,953500,100.0,8.0,80.0,80,100.0,25.0,60.0,6.0,5.0,92.0,4.0,1.0,,3.0,,50.0,50.0,85.0,IL Illinois Fulton County 953500,IL Illinois
